longName,address,city,region,postalCode,lat,lng
Huntington Station,148 Walt Whitman Rd,Huntington Station,NY,11746,40.82548,-73.41137
Levittown,3601 Hempstead Tpke,Levittown,NY,11756,40.72741,-73.50096
Patchogue,499 N Service Rd,Patchogue,NY,11772,40.7775,-73.03648
Riverhead,1440 Old Country Rd,Riverhead,NY,11901,40.92756,-72.69209
Albany,1 Crossgates Mall Rd,Albany,NY,12203,42.68998,-73.85028
Kingston,1300 Ulster Ave,Kingston,NY,12401,41.96785,-73.98543
Poughkeepsie,2001 South Rd,Poughkeepsie,NY,12601,41.62445,-73.92017
Saratoga Springs,3062 Route 50,Saratoga Springs,NY,12866,43.10595,-73.74177
Plattsburgh,60 Smithfield Blvd,Plattsburgh,NY,12901,44.70297,-73.49246
Syracuse,9090 Destiny USA Dr,Syracuse,NY,13204,43.07071,-76.17363
Dewitt,3401 Erie Blvd E,Dewitt,NY,13214,43.04749,-76.06743
New Hartford,4725 Commercial Dr,New Hartford,NY,13413,43.09282,-75.30879
Watertown,21085 Salmon Run Mall Loop W,Watertown,NY,13601,43.9789,-75.9515
Vestal,3209 Vestal Pkwy E,Vestal,NY,13850,42.09699,-75.99727
Hamburg,3701 McKinley Pkwy,Buffalo,NY,14219,42.78535,-78.80852
Clarence,4401 Transit Rd,Buffalo,NY,14221,42.96759,-78.69401
Walden Galleria,1 Galleria Dr,Cheektowaga,NY,14225,42.91436,-78.7611
Buffalo Niagra Airport (BUF) Gate 21,4200 Genesee St,Cheektowaga,NY,14225,42.932336032390594,-78.7276390939951
Amherst,1585 Niagara Falls Blvd,Amherst,NY,14228,42.99809,-78.81563
Victor,7550 Commons Blvd,Victor,NY,14564,43.03386,-77.44925
Henrietta,2345 Marketplace Dr,Rochester,NY,14623,43.07927,-77.63284
Rochester,1200 Brooks Ave,Rochester,NY,14624,43.13076317310333,-77.6686654239893
Greece,2833 W Ridge Rd,Rochester,NY,14626,43.20895,-77.70661
Ithaca,40 Catherwood Rd,Ithaca,NY,14850,42.48215,-76.49118
Big Flats,950 County Road 64,Elmira,NY,14903,42.15318,-76.87142
Get Go Chippewa,111 MCMILLEN AVE,BEAVER FALLS,PA,15010,40.770754,-80.372858
South Hills,5000 Alicia Dr,Bethel Park,PA,15102,40.34646,-80.04468
Waterfront,680 Waterfront Dr E,Munhall,PA,15120,40.41247,-79.90323
Monroeville,200 Mall Circle Dr,Monroeville,PA,15146,40.4312,-79.7999
Get Go Southside,3247 E CARSON ST,PITTSBURGH,PA,15203,40.423218,-79.959917
Get Go Robinson,6513 STEUBENVILLE PIKE,PITTSBURGH,PA,15205,40.450157,-80.112765
Pittsburgh Airport (PIT) Gate A8,1000 Airport Blvd,Pittsburgh,PA,15231,40.495866,-80.256136
Pittsburgh Airport (PIT) Gate B30,1000 Airport Blvd,Pittsburgh,PA,15231,40.495866,-80.256136
Century III,473 Clairton Blvd,Pittsburgh,PA,15236,40.33486,-79.94469
North Hills,4801 McKnight Rd,Pittsburgh,PA,15237,40.52348,-80.0068
North Fayette,430 Home Dr,Pittsburgh,PA,15275,40.45265,-80.18156
Greensburg,125 Donohoe Rd,Greensburg,PA,15601,40.30491,-79.50947
Johnstown,430 Town Centre Dr,Johnstown,PA,15904,40.27781,-78.84265
Cranberry,1000 Cranberry Square Dr,Cranberry Township,PA,16066,40.69121,-80.1047
Erie,6650 Peach St,Erie,PA,16509,42.05709,-80.0922
Altoona,1721 Osgood Dr,Altoona,PA,16602,40.49181,-78.38342
State College,1650 N Atherton St,State College,PA,16803,40.80682,-77.89483
Mechanicsburg,6416 Carlisle Pike,Mechanicsburg,PA,17050,40.24764,-77.00646
Harrisburg Airport (MDT) Gate C1,1 Terminal Dr,Middletown,PA,17057,40.195738,-76.756521
Harrisburg East,5000 Jonestown Rd,Harrisburg,PA,17112,40.30798,-76.80582
York,2865 Concord Rd,York,PA,17402,39.98488,-76.67117
Lancaster,1700 Fruitville Pike,Lancaster,PA,17601,40.06723,-76.315747
Muncy,115 Lycoming Mall Cir,Muncy,PA,17756,41.24541,-76.83197
Selinsgrove,110 Marketplace Blvd,Selinsgrove,PA,17870,40.84081,-76.8315
Sands Casino (Bethlehem),77 Sands Blvd,Bethlehem,PA,18015,40.613941,-75.358903
Bethlehem,4413 Birkland Pl,Easton,PA,18045,40.65766,-75.2858
Whitehall,1504 Macarthur Rd,Whitehall,PA,18052,40.62845,-75.48551
Stroudsburg,300 Shoppes Stroud,Stroudsburg,PA,18360,40.98911,-75.23324
Scranton,959 Viewmont Dr,Dickson City,PA,18519,41.4553,-75.65106
Wilkes Barre,449 Arena Hub Plz,Wilkes Barre,PA,18702,41.23896,-75.84081
Quakertown,646 N West End Blvd,Quakertown,PA,18951,40.46087,-75.37182
Oxford Valley,310 Commerce Blvd,Fairless Hills,PA,19030,40.18847,-74.86542
Springfield,642 Baltimore Pike,Springfield,PA,19064,39.92008,-75.32778
Willow Grove,1130 Easton Rd,Willow Grove,PA,19090,40.15733,-75.12466
